,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_found
126,62.46,-114.35,68.0,68,75,10.29,CA,1597089333,Yellowknife
127,-33.01,17.94,50.0,81,0,2.24,ZA,1597089333,Saldanha
128,-38.27,141.97,48.09,68,100,12.21,AU,1597089333,Codrington
129,36.62,-121.92,78.01,60,1,4.7,US,1597089333,Pacific Grove
130,57.79,-152.41,60.8,51,1,16.11,US,1597089103,Saint Paul Harbor
131,-45.42,167.72,38.34,85,46,3.04,NZ,1597089334,Te Anau
132,35.73,140.83,81.0,83,40,5.82,JP,1597089334,Hasaki
133,45.12,124.86,69.76,86,12,12.19,CN,1597089335,Songyuan
134,-3.08,34.15,67.55,34,0,3.18,TZ,1597089335,Kisesa
135,42.1,-79.24,84.99,58,40,8.05,US,1597089276,Jamestown
136,59.06,80.86,62.85,74,2,6.2,RU,1597089335,Kargasok
137,-19.45,29.82,56.12,38,0,5.79,ZW,1597089335,Gweru
138,26.19,107.51,70.38,93,98,1.61,CN,1597089336,Xiaoweizhai
139,13.08,109.3,81.34,67,99,10.16,VN,1597089336,Tuy Hoa
140,-5.2,-35.46,80.6,61,2,13.87,BR,1597089336,Touros
141,50.72,136.63,60.42,93,69,3.09,RU,1597089336,Solnechnyy
142,60.92,-46.05,55.4,43,20,9.17,GL,1597089336,Narsaq
143,15.12,108.8,78.6,81,2,4.88,VN,1597089337,Quang Ngai
144,22.29,114.16,84.0,74,100,8.01,HK,1597089186,Hong Kong
145,-14.37,23.24,63.61,29,0,5.01,ZM,1597089337,Lukulu
146,69.49,88.4,51.8,100,90,2.24,RU,1597089337,Talnakh
147,44.93,38.37,81.0,42,4,1.01,RU,1597089337,Krasnooktyabrskiy
148,34.17,77.58,64.85,35,8,6.24,IN,1597089338,Leh
149,5.79,0.9,75.2,88,20,11.41,GH,1597089338,Anloga
150,-11.1,-77.61,65.41,68,16,10.49,PE,1597089077,Hualmay
151,-21.36,55.77,68.0,52,75,8.05,RE,1597089338,Saint-Philippe
152,41.04,-83.65,89.6,52,20,11.41,US,1597089339,Findlay
153,-37.62,-73.65,48.65,62,1,14.61,CL,1597089339,Lebu
154,4.05,38.3,62.51,74,0,5.77,ET,1597089339,Mēga
